ECP,beta,VPA,divida_liq_EBITDA,margem_EBITDA,LPA,ano,P_EBITDA,EV_EBITDA,DY,P_L,P_VP,P_ativos,margem_EBIT,margem_liq,P_EBIT,EV_EBIT,divida_liq_EBIT,PSR,liq_corrente,ROE,ROA,ROIC,lucros_5anos,liq_media_diaria
0.27,1.24,4.5,2.5,0.51,0.67,2020,5.14,7.64,"5,35","21,42","3,17","0,85","32,72","12,42","8,13","12,07","3,93","2,66","0,96","14,79","3,97","9,42","1,11","141.689.575,07"
0.22,1.26,8.89,0.73,0.3,3.15,2020,1.66,2.39,"2,16","21,91","1,34","0,62","7,13","3,16","9,72","13,54","3,82","0,69","1,40","6,09","2,85","7,79",,"31.377.184,70"
0.01,0.71,21.51,0.69,0.75,4.2,2020,7.05,7.74,"6,60","6,67","1,30","0,70","50,40","82,03","10,86",,"1,03","5,47","1,23","19,52","10,48","-1,57","15,73","73.152.079,50"
0.17,0.66,3.92,1.66,0.26,10.33,2020,8.52,10.17,"9,38","15,86","32,11","2,89","24,67","15,84","10,18",,"1,91","2,51","1,04","202,51","18,25","27,94","17,45","617.224,83"
0.0,0.66,29.15,0.0,0.23,6.52,2020,4.29,3.67,"6,76","4,02","0,89","0,60","20,31","26,94","5,33","4,54","-0,72","1,08","2,07","22,09","14,97","11,56","16,83","200.936,57"
0.32,1.03,3.41,0.23,0.3,0.44,2020,6.25,6.47,"2,60","11,09","1,44","0,16","22,14","23,59","11,82","12,12","0,31","2,62","1,10","12,95","1,42","4,32","-11,13","150.483.072,73"
0.35,0.46,40.21,1.58,0.1,9.26,2020,2.09,3.67,"3,63","5,76","1,32","0,22","7,15","4,44","3,57","5,72","2,23","0,26","1,23","22,88","3,77","13,06","-11,18","1.085.986,20"
0.19,1.0,10.85,3.94,0.13,1.56,2020,3.95,7.89,"2,53","6,95","1,00","0,31","9,57","8,90","6,47","12,14","5,50","0,62","1,35","14,36","4,51","4,16","-0,06","142.919.925,73"
0.79,1.28,5.56,0.0,0.0,1.48,2020,0.0,0.0,,"25,74","6,82","2,03","18,41","12,17","17,01","16,86","-0,15","3,13","1,43","26,50","7,87","30,84",,"81.005.008,40"
0.32,0.33,41.14,2.61,0.17,6.19,2020,4.3,6.9,"3,83","8,99","1,35","0,47","11,79","8,61","6,56",,"3,72","0,77","1,04","15,00","5,28","9,43","9,99","2.190.700,73"
0.06,1.28,9.63,7.19,0.22,0.15,2020,4.93,12.12,"0,60","-265,97","0,66","0,33","11,52","-0,67","15,37","27,13","11,76","1,77","1,97","-0,25","-0,13","2,45","-24,68","334.649.058,53"
0.17,0.71,12.62,2.61,0.22,2.68,2020,5.24,7.85,,"11,88","2,52","0,76","16,14","10,24","7,54","11,07","3,53","1,22","1,36","21,20","6,40","9,31","25,40","153.950.283,07"
0.13,0.96,66.17,2.0,0.25,7.56,2020,4.01,6.02,"3,88","6,75","0,96","0,45","19,90","12,62","4,28",,"2,02","0,85","1,53","14,21","6,72","10,77","9,08","118.838.760,50"
0.0,0.71,64.82,9.91,-0.19,-3.72,2020,-8.0,1.9,"69,27","-4,37","0,27","0,25","-18,28","-29,36","-7,02","2,90","9,92","1,28","9,43","-6,29","-5,71","-4,77",,"35.797,43"
0.28,0.5,7.63,1.18,0.06,0.63,2020,9.13,10.31,"1,32","29,35","2,42","0,87","4,50","2,02","13,16","14,80","1,65","0,59","1,16","8,24","2,97","8,56","12,50","148.508.182,43"
0.18,1.03,27.73,1.76,0.31,6.23,2020,6.27,8.03,"2,24","12,12","2,30","0,79","26,39","15,54","7,13","9,92","2,79","1,88","1,97","19,00","6,54","12,15","31,02","122.681.605,97"
0.12,0.72,54.11,1.47,0.34,5.76,2020,3.6,5.07,"1,61","10,16","1,08","0,63","22,46","13,94","6,31","8,55","2,24","1,42","1,76","10,62","6,22","8,94","18,85","59.716.743,87"
0.15,1.28,3.9,7.51,0.16,0.61,2020,2.89,10.41,"2,89","17,50","2,74","0,28","9,92","3,42","6,03","18,52","12,49","0,60","1,20","15,65","1,60","3,34",,"153.490.399,57"
0.02,1.59,9.34,1.82,0.31,1.55,2020,3.09,4.9,"2,03","13,40","2,21","0,44","25,37","11,99","6,33","8,67","2,34","1,61","1,49","16,48","3,30","14,69","18,82","122.751.038,33"
0.23,1.42,13.03,1.91,0.17,1.31,2020,9.68,11.59,"8,74","15,98","1,60","0,81","14,84","13,47","14,50","16,64","2,13","2,15","2,38","10,00","5,06","6,33","-8,46","163.260.451,23"
0.08,0.01,10.36,2.28,0.2,0.42,2020,23.6,25.88,"0,85","243,69","9,72","3,59","9,13","2,98","79,68","84,57","4,89","7,27","1,46","3,99","1,47","6,40","9,52","20.557,29"
